raster_name,region_id,region_name,total_pixels,loss_pixels,total_area,loss_area,loss_percentage,pixel_area
18,0,Region_0,12959275,4183204,1295927500.0,418320400.0,32.27961440744178,100.0
18,1,Region_1,23966880,4761244,2396688000.0,476124400.0,19.865931652346905,100.0
18,2,Region_2,1233080,121892,123308000.0,12189200.0,9.885165601583028,100.0
18,3,Region_3,28009296,10383542,2800929600.0,1038354200.0,37.07177074354171,100.0
18,4,Region_4,20108907,5725192,2010890700.0,572519200.0,28.47092584395562,100.0
18,5,Region_5,54927920,12559855,5492792000.0,1255985500.0,22.866067020196652,100.0
19,0,Region_0,12959275,4227780,1295927500.0,422778000.0,32.62358426686678,100.0
19,1,Region_1,23966880,4748064,2396688000.0,474806400.0,19.810939095952413,100.0
19,2,Region_2,1233080,116685,123308000.0,11668500.0,9.462889674635871,100.0
19,3,Region_3,28009296,10629938,2800929600.0,1062993800.0,37.95146439953364,100.0
19,4,Region_4,20108907,5917328,2010890700.0,591732800.0,29.42640293676827,100.0
19,5,Region_5,54927920,12964677,5492792000.0,1296467700.0,23.603072899902273,100.0
20,0,Region_0,12959275,4153013,1295927500.0,415301300.0,32.04664612796627,100.0
20,1,Region_1,23966880,4713355,2396688000.0,471335500.0,19.666118410072567,100.0
20,2,Region_2,1233080,117754,123308000.0,11775400.0,9.549583157621566,100.0
20,3,Region_3,28009296,10939381,2800929600.0,1093938100.0,39.05625118175052,100.0
20,4,Region_4,20108907,6042634,2010890700.0,604263400.0,30.049539738783416,100.0
20,5,Region_5,54927920,13468021,5492792000.0,1346802100.0,24.519444755963814,100.0
21,0,Region_0,12959275,4216263,1295927500.0,421626300.0,32.534713554577706,100.0
21,1,Region_1,23966880,4764962,2396688000.0,476496200.0,19.88144472705667,100.0
21,2,Region_2,1233080,119554,123308000.0,11955400.0,9.695559087812631,100.0
21,3,Region_3,28009296,10552275,2800929600.0,1055227500.0,37.674188597956906,100.0
21,4,Region_4,20108907,5892348,2010890700.0,589234800.0,29.30217937752659,100.0
21,5,Region_5,54927920,12898083,5492792000.0,1289808300.0,23.481834010827278,100.0
22,0,Region_0,12959275,4172192,1295927500.0,417219200.0,32.19464051808454,100.0
22,1,Region_1,23966880,4708537,2396688000.0,470853700.0,19.646015668288904,100.0
22,2,Region_2,1233080,116905,123308000.0,11690500.0,9.48073117721478,100.0
22,3,Region_3,28009296,10131488,2800929600.0,1013148800.0,36.171876651237504,100.0
22,4,Region_4,20108907,5587830,2010890700.0,558783000.0,27.787835509906134,100.0
22,5,Region_5,54927920,12137878,5492792000.0,1213787800.0,22.097829300654386,100.0
23,0,Region_0,12959275,4297280,1295927500.0,429728000.0,33.15987970006038,100.0
23,1,Region_1,23966880,4842382,2396688000.0,484238200.0,20.204473840566646,100.0
23,2,Region_2,1233080,123755,123308000.0,12375500.0,10.036250689330782,100.0
23,3,Region_3,28009296,10603185,2800929600.0,1060318500.0,37.855949681848486,100.0
23,4,Region_4,20108907,5906488,2010890700.0,590648800.0,29.37249647631271,100.0
23,5,Region_5,54927920,12711651,5492792000.0,1271165100.0,23.14242192313126,100.0
24,0,Region_0,12959275,4043313,1295927500.0,404331300.0,31.20014815643622,100.0
24,1,Region_1,23966880,4661445,2396688000.0,466144500.0,19.449527848430833,100.0
24,2,Region_2,1233080,117978,123308000.0,11797800.0,9.567749051156452,100.0
24,3,Region_3,28009296,10154780,2800929600.0,1015478000.0,36.25503475703209,100.0
24,4,Region_4,20108907,5528615,2010890700.0,552861500.0,27.493364010286587,100.0
24,5,Region_5,54927920,12342607,5492792000.0,1234260700.0,22.470552316563232,100.0
